lsat,pass_bar,bar
35.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
21.0,1.0,b'a Passed 1st time'
33.5,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
35.5,1.0,b'a Passed 1st time'
30.5,1.0,b'a Passed 1st time'
25.0,1.0,b'b Passed 2nd time'
40.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
28.0,1.0,b'a Passed 1st time'
31.5,1.0,b'a Passed 1st time'
31.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
38.5,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
29.0,1.0,b'b Passed 2nd time'
40.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
33.5,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
36.5,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
31.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
30.5,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
37.0,0.0,b'c Failed'
32.5,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
25.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
26.0,1.0,b'a Passed 1st time'
30.0,1.0,b'b Passed 2nd time'
34.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
33.0,1.0,b'b Passed 2nd time'
34.5,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
11.0,0.0,b'c Failed'
34.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
30.5,1.0,b'b Passed 2nd time'
42.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
42.0,0.0,b'c Failed'
44.0,1.0,b'a Passed 1st time'
28.5,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
31.0,1.0,b'a Passed 1st time'
26.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
29.0,1.0,b'b Passed 2nd time'
41.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
34.0,0.0,b'c Failed'
35.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
46.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
47.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
29.5,1.0,b'a Passed 1st time'
30.5,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
39.0,0.0,b'c Failed'
36.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
31.0,1.0,b'b Passed 2nd time'
36.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
32.3,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
46.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
46.0,1.0,b'b Passed 2nd time'
38.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
31.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
17.5,0.0,b'c Failed'
41.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
38.5,1.0,b'a Passed 1st time'
39.5,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
31.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
31.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
40.0,1.0,b'b Passed 2nd time'
36.0,1.0,b'a Passed 1st time'
47.0,1.0,b'a Passed 1st time'
31.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
25.0,0.0,b'c Failed'
46.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
24.0,1.0,b'b Passed 2nd time'
45.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
28.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
25.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
36.0,0.0,b'c Failed'
42.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
40.0,0.0,b'c Failed'
34.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
26.0,0.0,b'c Failed'
38.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
39.5,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
26.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
36.0,0.0,b'c Failed'
40.0,1.0,b'a Passed 1st time'
31.5,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
35.5,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
29.0,0.0,b'c Failed'
36.0,1.0,b'a Passed 1st time'
48.0,1.0,b'a Passed 1st time'
35.5,1.0,b'a Passed 1st time'
34.0,1.0,b'b Passed 2nd time'
32.5,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
29.5,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
33.0,0.0,b'c Failed'
44.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
23.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
39.5,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
30.5,1.0,b'a Passed 1st time'
27.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
46.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
28.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
28.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
42.0,1.0,b'b Passed 2nd time'
36.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
32.0,1.0,b'b Passed 2nd time'
39.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
31.5,1.0,b'a Passed 1st time'
27.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
36.0,1.0,b'b Passed 2nd time'
45.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
25.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
31.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
32.5,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
30.5,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
46.0,1.0,b'a Passed 1st time'
41.0,1.0,b'b Passed 2nd time'
33.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
30.5,0.0,b'c Failed'
31.3,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
25.0,0.0,b'c Failed'
33.0,1.0,b'b Passed 2nd time'
35.5,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
33.0,1.0,b'b Passed 2nd time'
42.0,1.0,b'a Passed 1st time'
26.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
34.5,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
30.5,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
37.0,1.0,b'b Passed 2nd time'
42.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
37.5,1.0,b'a Passed 1st time'
32.0,1.0,b'b Passed 2nd time'
36.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
35.5,1.0,b'a Passed 1st time'
30.0,1.0,b'b Passed 2nd time'
35.0,0.0,b'c Failed'
39.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
34.0,0.0,b'c Failed'
36.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
48.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
30.5,1.0,b'b Passed 2nd time'
36.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
34.5,1.0,b'b Passed 2nd time'
40.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
34.0,0.0,b'c Failed'
48.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
25.0,0.0,b'c Failed'
41.0,1.0,b'a Passed 1st time'
27.0,1.0,b'b Passed 2nd time'
39.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
26.0,1.0,b'b Passed 2nd time'
37.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
28.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
46.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
33.5,1.0,b'a Passed 1st time'
34.5,1.0,b'b Passed 2nd time'
40.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
47.0,1.0,b'a Passed 1st time'
36.0,1.0,b'b Passed 2nd time'
43.5,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
27.0,1.0,b'b Passed 2nd time'
35.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
35.0,1.0,b'b Passed 2nd time'
36.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
22.0,0.0,b'c Failed'
40.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
33.5,1.0,b'a Passed 1st time'
46.0,1.0,b'a Passed 1st time'
46.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
33.0,0.0,b'c Failed'
33.0,1.0,b'a Passed 1st time'
46.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
48.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
31.5,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
48.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
29.0,0.0,b'c Failed'
32.0,1.0,b'a Passed 1st time'
39.5,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
32.5,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
34.5,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
31.0,1.0,b'b Passed 2nd time'
36.0,0.0,b'c Failed'
38.0,1.0,b'a Passed 1st time'
31.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
26.0,0.0,b'c Failed'
39.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
48.0,1.0,b'a Passed 1st time'
25.0,0.0,b'c Failed'
36.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
48.0,1.0,b'a Passed 1st time'
28.0,1.0,b'b Passed 2nd time'
44.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
28.0,1.0,b'b Passed 2nd time'
46.0,1.0,b'a Passed 1st time'
28.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
22.5,0.0,b'c Failed'
40.0,1.0,b'a Passed 1st time'
36.5,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
27.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
35.0,0.0,b'c Failed'
38.0,1.0,b'a Passed 1st time'
29.0,0.0,b'c Failed'
41.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
26.0,1.0,b'b Passed 2nd time'
44.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
33.0,0.0,b'c Failed'
38.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
36.5,1.0,b'a Passed 1st time'
30.3,1.0,b'a Passed 1st time'
29.5,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
40.5,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
31.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
29.0,1.0,b'a Passed 1st time'
33.5,1.0,b'a Passed 1st time'
28.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
33.0,0.0,b'c Failed'
36.0,1.0,b'a Passed 1st time'
48.0,1.0,b'a Passed 1st time'
21.0,0.0,b'c Failed'
41.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
38.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
42.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
27.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
48.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
48.0,1.0,b'a Passed 1st time'
31.5,1.0,b'a Passed 1st time'
48.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
47.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
45.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
47.0,1.0,b'a Passed 1st time'
40.0,1.0,b'a Passed 1st time'
36.0,0.0,b'c Failed'
26.0,0.0,b'c Failed'
34.0,1.0,b'a Passed 1st time'
32.5,1.0,b'a Passed 1st time'
37.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
38.0,1.0,b'b Passed 2nd time'
35.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
34.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
35.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
40.0,1.0,b'b Passed 2nd time'
35.0,0.0,b'c Failed'
43.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
33.0,1.0,b'a Passed 1st time'
39.0,1.0,b'a Passed 1st time'
30.0,1.0,b'a Passed 1st time'
47.0,1.0,b'a Passed 1st time'
32.0,1.0,b'a Passed 1st time'
36.0,1.0,b'a Passed 1st time'
44.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
41.0,1.0,b'a Passed 1st time'
43.0,1.0,b'a Passed 1st time'
25.0,1.0,b'a Passed 1st time'
35.0,1.0,b'b Passed 2nd time'
35.0,1.0,b'a Passed 1st time'
